Question,Answer
Different goods always have identical input requirements.,False
A production possibilities frontier (PPF) with increasing opportunity costs is depicted as a straight line.,False
The scarcity of resources does not affect the scarcity of output products.,False
Air is universally considered a scarce good.,False
What are the three basic economic problems every society must solve?,0
"According to the passage, why is ""Produce what?"" a fundamental economic problem?",1
The law of diminishing returns explains why:,2
A key factor contributing to increasing opportunity costs is:,2
Unlimited resources eliminate the need to choose which goods to produce.,True
The method of production is irrelevant when resources are abundant.,False
Distribution of goods is a non-issue in a world without scarcity.,True
Different distribution methods have no impact on societal outcomes.,False
"In a command economy, production decisions are decentralized.",False
The passage mentions which of the following as methods of electricity production?,0
"According to the passage, what is a key characteristic of a command economy?",3
The fundamental economic problems discussed in the passage primarily stem from:,2
Which of the following is NOT mentioned as a factor influencing production methods in the text?,3
The 'production for whom' question primarily addresses the issue of:,2
"In a command economy, the state dictates the prices of goods.",True
State-owned enterprises in a command economy are free to determine their own output targets.,False
"Even in command economies, consumer choice is entirely absent.",False
A free market economy relies on the 'invisible hand' of the market to guide production decisions.,True
"In a free market economy, producers are primarily motivated by social responsibility.",False
Production methods in a free market economy are unaffected by fluctuations in the prices of production factors.,False
"In a command economy, who decides where produced goods are consumed?",2
What is the primary motivator for producers in a free market economy?,2
"What aspect of economic decision-making is significantly constrained in a command economy, even for consumers?",2
"According to the passage, what factor significantly influences production methods in a free market economy?",2
What does the passage suggest about the feasibility of a purely command economy?,2
"In a free market economy, goods are primarily allocated to those with the financial means to purchase them.",True
"Completely free market economies, without any government intervention, are common globally.",False
"Even in Hong Kong, known for its free market, the government plays no role in the economy.",False
A mixed economy involves a combination of market forces and government intervention.,True
Income distribution in a market economy is directly tied to the market for factors of production.,True
How is the problem of 'producing for whom' resolved in a free market economy?,2
Which of the following is NOT a factor influencing income levels in a market economy?,1
What type of economy is primarily characterized by the interaction of market forces and state intervention?,2
"During the 2003 SARS outbreak in Hong Kong, who primarily took action to control the epidemic?",2
"In a mixed economy, which of the following might a government do to influence the economy?",2
"In a mixed economy, the state and the market are equally important forces governing economic processes.",False
"Pure command economies, without any market influence, are common in the modern world.",False
Economics primarily focuses on the technical aspects of production processes.,False
The scarcity of resources is irrelevant to the study of economic behavior.,False
Economics is solely concerned with market economies and ignores non-market systems.,False
"According to Samuelson & Nordhaus, economics is best defined as:",1
One of the fundamental questions economics seeks to answer is:,1
Which statement best describes the relationship between economics and other social sciences?,2
The primary focus of modern economics is:,2
What is a key difference between microeconomics and macroeconomics as presented in the text?,0
Economics is primarily concerned with technical problems of production.,False
Microeconomics focuses on the behavior of individual economic agents within specific markets.,True
Macroeconomics examines individual commodity markets in isolation.,False
Public economics is considered a branch of microeconomics.,False
Local analysis in microeconomics ignores the influence of other markets on the market under study.,True
Which of the following is NOT a specific economic subject mentioned in the text?,2
Microeconomic theory is sometimes referred to as:,2
What is the main method of analysis used in microeconomics?,2
"According to the passage, what is a key aspect of economic decision-making?",2
What does macroeconomics view the economy as?,1
Macroeconomics examines the economy by focusing on individual commodity markets.,False
Macroeconomics is primarily concerned with aggregate variables of the entire economy.,True
Microeconomic knowledge is irrelevant to understanding macroeconomic phenomena.,False
Macroeconomics ignores the fluctuations of specific prices like cloth or food prices.,True
What is the central focus of macroeconomics regarding output?,1
"According to the passage, what is a key difference between macroeconomic and microeconomic approaches?",1
"In the context of the passage, what does the term 'inflation rate' refer to?",1
"Positive economists, when faced with rising oil prices, would primarily focus on:",2
A conclusion from empirical analysis is considered correct only if confirmed by real-world events.,True
Positive economists are incapable of making mistakes in their judgments.,False
Normative analysis focuses on objective explanations of economic phenomena.,False
Normative judgments are primarily based on personal values and can vary significantly between individuals.,True
Empirical evidence can never influence normative judgments.,False
Disagreements among economists are more common in normative analysis than in positive analysis.,True
Economic analysis requires the use of specialized tools and methods.,True
"Economics, as a social science, relies solely on theoretical models for knowledge creation.",False
What is the primary goal of normative analysis?,1
What distinguishes positive analysis from normative analysis?,2
How can a better understanding of objective economic processes affect normative judgments?,2
"According to the passage, what is the foundation of economic knowledge?",2
Economists can easily conduct controlled experiments like physicists to test economic theories.,False
Large-scale economic experiments are always feasible due to their lack of social impact.,False
Economic models completely replicate the complexity of the real world.,False
Simplifying assumptions are never used in economic modeling.,False
Economic models are valuable tools for understanding economic behavior and the economy's operation.,True
What is a significant challenge for economists when conducting research compared to physicists?,1
Why do economists often employ 'scientific abstraction' in their research?,1
What is a common simplifying assumption used in economic models related to business decisions?,1
How are economic models described in the passage?,2
The analogy of using economic models to understand the economy is compared to:,2
Economic models perfectly represent real economic life.,False
Assumptions in economic models can be made arbitrarily without impacting the model's accuracy.,False
Economic models always ignore all random relationships between variables.,True
Data plays an insignificant role in economic analysis.,False
Time series data shows measurements of different variables at the same time.,False
"Cross-sectional data is primarily used to analyze broad, economy-wide trends.",False
What is a key characteristic of assumptions used in economic models?,2
Economic models are useful because they:,1
What type of data shows measurements of the same variable at different times?,2
Why are economic models considered useful tools?,1
"According to the text, what is necessary for reliable quantitative economic analysis?",2
Cross-sectional data is primarily used to analyze changes over time.,False
Index numbers are used to compare data while ignoring the actual units of measurement.,True
Nominal variables account for inflation when measuring economic values.,False
Real variables are nominal variables adjusted for inflation.,True
Graphs are unhelpful in visualizing economic relationships.,False
"According to the text, cross-sectional data is best suited for analyzing:",1
"If the price of an item is used as a base year value to construct an index, what is its index value in that base year?",2
What is the main difference between nominal and real variables?,2
Why are real variables preferred when measuring economic changes over time?,1
The primary benefit of using graphs in economics is:,1
Economic graphs always use three-dimensional coordinate systems to represent data.,False
Graphs help economists communicate complex economic ideas more easily.,True
A movement along a demand curve indicates a change in the parameters of the demand function.,False
The slope of a linear function is always constant.,True
A negative slope on a graph indicates a positive relationship between two variables.,False
"In the demand function QD = 100 - 2P, what does P represent?",1
What does a shift in the demand curve represent?,2
"If the slope of a line is positive, what does it imply about the relationship between the two variables?",2
A steeper graph indicates what about the absolute value of its slope?,2
"According to the passage, what is the mathematical representation of the slope of the line y=f(x)?",1
A smaller absolute value of a line's slope indicates a steeper graph.,False
The demand curve typically slopes downward because quantity demanded generally decreases as price increases.,True
Economists often use the assumption that all factors remain constant when analyzing the relationship between two variables.,True
A steep demand curve indicates that quantity demanded is highly responsive to price changes.,False
The ratio ∆P/∆QD represents the slope of the demand curve.,True
The increase in university enrollment alongside rising tuition fees definitively proves a positive relationship between them.,1
"According to the passage, if event A always precedes event B, A is definitely the cause of B.",1
What crucial assumption is often made when analyzing the relationship between two economic variables?,0
A statement true for a specific part of an economic relationship is always true for the entire relationship.,1
Observing that higher prices lead to higher quantities of goods sold definitively proves a positive relationship between price and quantity sold.,1
A statement true in a limited context is always true in a broader context.,False
What benefits one person will always benefit another.,False
Doubling the price of a good always benefits the producer.,False
Local analysis conclusions can always be safely generalized.,False
"If a producer's input and output good prices double, their profit will:",2
The passage primarily emphasizes the importance of:,1
"According to the passage, a statement's truthfulness depends on:",1
The example of doubling prices illustrates the importance of considering:,2
